Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Distance,Orderd_hour,Orderd_minute,Orderd_picked_hour,Orderd_picked_minute
4.6,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,21,4.66,20.0,15.0,20.0,20.0
4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,25,7.65,17.0,40.0,17.0,50.0
4.7,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,40,10.91,20.0,35.0,20.0,40.0
4.8,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,18,4422.67,14.0,40.0,14.0,50.0
4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,9.31,23.0,40.0,23.0,55.0
4.6,Sunny,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,21,6.29,15.0,30.0,15.0,40.0
4.6,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,21,7.55,18.0,15.0,18.0,25.0
4.2,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,21,4.66,23.0,40.0,23.0,45.0
4.7,Sandstorms,Jam,1,Meal,scooter,0.0,No,Metropolitian,13,7.57,21.0,55.0,21.0,40.0
4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Urban,11,4.66,18.0,40.0,18.0,50.0
4.1,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,39,7.76,20.0,35.0,20.0,45.0
4.7,Cloudy,High,1,Snack,motorcycle,0.0,No,Metropolitian,23,6.05,12.0,15.0,12.0,20.0
4.0,Cloudy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,39,20.25,21.0,10.0,21.0,25.0
4.9,Windy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,17,10.76,19.0,50.0,19.0,55.0
4.6,Sunny,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,16,8.79,20.0,25.0,20.0,40.0
4.8,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,33,13.83,18.0,30.0,18.0,45.0
4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46,12.42,20.0,35.0,20.0,40.0
4.9,Stormy,Low,1,Buffet,motorcycle,1.0,No,Urban,16,3.07,9.0,10.0,9.0,20.0
4.6,Stormy,Medium,0,Snack,motorcycle,1.0,No,Urban,23,12.23,18.0,15.0,18.0,30.0
4.6,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,21,17.14,22.0,50.0,23.0,5.0
4.9,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,15,4423.28,22.0,20.0,22.0,35.0
4.5,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,40,12.12,21.0,30.0,21.0,35.0
4.2,Cloudy,Jam,2,Meal,motorcycle,2.0,No,Metropolitian,49,13.43,20.0,55.0,21.0,5.0
4.7,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,28,13.79,23.0,45.0,23.0,55.0
4.5,Stormy,Low,2,Drinks,scooter,1.0,No,Urban,11,9.12,22.0,50.0,23.0,5.0
4.8,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,18,3.04,9.0,35.0,9.0,45.0
4.5,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,43,20.18,20.0,15.0,20.0,25.0
5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,9.08,20.0,55.0,21.0,5.0
4.9,Cloudy,High,2,Drinks,scooter,1.0,No,Metropolitian,24,6.29,13.0,10.0,13.0,20.0
4.8,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,20,3.06,8.0,50.0,9.0,5.0
4.6,Sunny,High,1,Snack,scooter,0.0,No,Metropolitian,22,6.08,12.0,55.0,13.0,5.0
4.6,Stormy,Low,2,Drinks,scooter,1.0,No,Urban,16,14.02,22.0,55.0,23.0,10.0
4.3,Sandstorms,High,1,Snack,motorcycle,1.0,No,Metropolitian,34,3.11,11.0,15.0,11.0,25.0
3.7,Stormy,Jam,2,Snack,scooter,0.0,No,Metropolitian,31,19.88,20.0,55.0,21.0,5.0
4.9,Fog,High,1,Buffet,motorcycle,1.0,No,Metropolitian,27,6.15,13.0,0.0,13.0,15.0
4.7,Cloudy,Medium,1,Snack,scooter,1.0,No,Metropolitian,28,16.64,18.0,10.0,18.0,20.0
4.8,Windy,Medium,0,Snack,motorcycle,1.0,No,Urban,25,6.21,16.0,45.0,16.0,55.0
5.0,Windy,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,27,4.66,20.0,15.0,20.0,30.0
4.8,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,19,9.18,17.0,30.0,17.0,45.0
4.7,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,22,4.61,22.0,25.0,22.0,40.0
4.0,Cloudy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,31,20.85,21.0,50.0,22.0,5.0
4.5,Sunny,Jam,2,Buffet,scooter,0.0,No,Metropolitian,11,7.45,20.0,25.0,20.0,35.0
4.6,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,27,9.19,17.0,35.0,17.0,50.0
4.7,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,31,10.91,18.0,45.0,18.0,30.0
4.9,Stormy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,24,19.98,19.0,55.0,20.0,10.0
3.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,37,16.82,19.0,55.0,19.0,40.0
4.1,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,7.79,22.0,25.0,22.0,40.0
4.7,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,19.76,22.0,55.0,23.0,10.0
4.7,Cloudy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,38,9.06,19.0,35.0,19.0,45.0
4.8,Stormy,Medium,1,Buffet,scooter,0.0,No,Metropolitian,17,10.59,18.0,30.0,18.0,40.0
4.9,Cloudy,Jam,2,Snack,scooter,1.0,Yes,Metropolitian,49,14.15,19.0,15.0,19.0,20.0
3.8,Stormy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,32,16.72,21.0,35.0,21.0,50.0
4.9,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,10.76,23.0,25.0,23.0,30.0
,,,3,Snack,electric_scooter,1.0,No,Metropolitian,24,7.65,17.0,10.0,17.0,25.0
4.6,Fog,Medium,1,Drinks,scooter,0.0,No,Metropolitian,17,4.59,18.0,10.0,18.0,25.0
4.9,Windy,Jam,1,Meal,motorcycle,1.0,No,Urban,27,7.86,21.0,25.0,21.0,30.0
4.1,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21,7.77,23.0,45.0,23.0,50.0
4.2,Cloudy,Jam,1,Drinks,motorcycle,1.0,Yes,Urban,40,10.87,21.0,25.0,21.0,40.0
4.4,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,33,9.05,21.0,10.0,21.0,25.0
4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Urban,16,1.55,8.0,20.0,8.0,25.0
4.9,Sunny,Medium,1,Snack,scooter,1.0,No,,11,7.66,18.0,10.0,18.0,15.0
4.8,Sunny,Medium,2,Buffet,scooter,1.0,No,Urban,16,16.85,17.0,25.0,17.0,35.0
4.3,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,42,20.44,23.0,30.0,23.0,45.0
4.6,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,38,19.92,23.0,15.0,23.0,30.0
4.9,Fog,Low,1,Meal,scooter,1.0,No,Metropolitian,17,1.55,9.0,30.0,9.0,35.0
4.4,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,40,6.21,13.0,45.0,13.0,50.0
4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,17,3.03,9.0,45.0,9.0,30.0
4.2,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,37,10.87,20.0,20.0,20.0,25.0
,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,21,9.12,21.0,35.0,21.0,40.0
4.6,Sunny,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,25,20.18,21.0,45.0,21.0,55.0
4.7,Stormy,Low,0,Meal,motorcycle,0.0,No,Urban,17,16.64,22.0,20.0,22.0,30.0
4.9,Windy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,26,6.29,12.0,30.0,12.0,45.0
4.6,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,35,20.18,19.0,55.0,20.0,10.0
4.8,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,27,9.12,19.0,45.0,19.0,30.0
4.8,Fog,Jam,0,Meal,motorcycle,1.0,Yes,Urban,52,16.85,21.0,15.0,21.0,20.0
4.6,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,32,4.66,17.0,15.0,17.0,20.0
4.0,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,31,10.72,21.0,20.0,21.0,25.0
4.5,Stormy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,12,7.68,23.0,15.0,23.0,30.0
4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,27,4.67,21.0,55.0,22.0,10.0
4.2,Fog,Jam,2,Meal,scooter,2.0,No,Metropolitian,36,13.58,20.0,25.0,20.0,30.0
4.6,Cloudy,Low,1,Snack,scooter,0.0,No,Metropolitian,27,17.08,22.0,45.0,22.0,50.0
4.7,Cloudy,Medium,1,Snack,scooter,1.0,No,Metropolitian,12,4.67,17.0,35.0,17.0,40.0
4.4,Stormy,High,0,Snack,motorcycle,1.0,No,Metropolitian,45,6.05,14.0,40.0,14.0,55.0
4.3,Cloudy,Low,1,Drinks,scooter,1.0,Yes,Metropolitian,39,12.07,23.0,30.0,23.0,35.0
4.6,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,9.22,20.0,40.0,20.0,50.0
4.5,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,16,7.65,23.0,15.0,23.0,25.0
4.6,Stormy,High,0,Snack,motorcycle,0.0,No,Metropolitian,38,3.15,11.0,25.0,11.0,35.0
3.7,Sandstorms,Jam,2,Meal,motorcycle,1.0,No,Urban,32,11.72,20.0,45.0,20.0,55.0
4.3,Sandstorms,Jam,2,Meal,motorcycle,2.0,No,Urban,41,13.58,19.0,10.0,19.0,15.0
4.9,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21,19.98,22.0,45.0,22.0,50.0
4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,15,13.79,22.0,10.0,22.0,20.0
4.6,Cloudy,Jam,2,Buffet,electric_scooter,1.0,No,Urban,42,11.92,20.0,30.0,20.0,35.0
4.2,Fog,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,42,10.71,18.0,45.0,18.0,30.0
4.9,Sandstorms,Low,2,Buffet,scooter,0.0,No,Metropolitian,15,16.72,22.0,50.0,22.0,55.0
4.9,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,26,6.22,12.0,30.0,12.0,40.0
4.0,Windy,Low,0,Snack,motorcycle,1.0,No,Urban,24,3.06,9.0,20.0,9.0,30.0
4.7,Sunny,Jam,1,Meal,motorcycle,0.0,No,Urban,17,10.87,19.0,20.0,19.0,25.0
,Windy,High,1,Drinks,scooter,1.0,No,Urban,17,17548.69,12.0,0.0,12.0,15.0
4.6,Fog,Low,1,Meal,scooter,1.0,No,Metropolitian,17,1.53,9.0,15.0,9.0,20.0
